2021-11-23 23:38:05 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2021-11-23 23:38:06 [main] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2021-11-23 23:38:07 [main] INFO  springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2021-11-23 23:38:08 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2021-11-23 23:38:08 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2021-11-23 23:38:08 [main] INFO  springfox.documentation.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2021-11-23 23:38:08 [main] INFO  com.rapipay.newOTPGenerate.NewOtpGenerateApplicationTests - Started NewOtpGenerateApplicationTests in 7.035 seconds (JVM running for 9.699)
2021-11-23 23:38:08 [main] INFO  com.rapipay.newOTPGenerate.services.OTPService - Entered generate otp section
2021-11-23 23:38:08 [main] INFO  com.rapipay.newOTPGenerate.services.OTPService - Entered generate otp section
2021-11-23 23:38:08 [main] INFO  com.rapipay.newOTPGenerate.services.OTPService - Entered generate otp section
2021-11-23 23:38:08 [main] INFO  com.rapipay.newOTPGenerate.services.OTPService - Entered generate otp section
2021-11-23 23:38:08 [main] INFO  com.rapipay.newOTPGenerate.services.OTPService - Entered generate otp section
2021-11-23 23:38:09 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2021-11-23 23:38:09 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2021-11-23 23:41:48 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=2m44s83ms345µs300ns).
2021-11-24 08:06:30 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=8h24m49s508ms636µs900ns).
2021-11-24 08:09:57 [RMI TCP Connection(12)-127.0.0.1] WARN  javax.management.remote.misc - The server has decided to close this client connection.
